Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236,Married,Star,3839.14,Standard,2016,2,2018,9
549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,93717,Divorced,Star,3839.61,Standard,2016,3,2020,5
429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,144532,Single,Star,3839.75,Standard,2014,7,2019,3
608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,127051,Single,Star,3839.75,Standard,2013,2,2019,4
530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,77788,Married,Star,3842.79,Standard,2014,10,2019,7
193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,109401,Married,Star,3844.57,Standard,2012,5,2020,1
927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,89924,Single,Star,3857.95,Standard,2014,6,2018,1
188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,93128,Married,Star,3861.49,Standard,2016,12,2017,4
852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,144146,Married,Star,3861.49,Standard,2015,5,2017,12
866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,58236,Married,Star,3861.49,Standard,2016,10,2017,4
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,114669,Married,Star,3863.31,Standard,2015,3,2020,8
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,50852,Married,Star,3864.78,Standard,2016,6,2019,2
611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,54925,Single,Star,3867.97,Standard,2018,1,2017,9
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,76829,Single,Star,3871.07,Standard,2013,10,2017,4
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,58325,Single,Star,3872.22,Standard,2016,11,2018,2
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,77032,Married,Star,3873.65,Standard,2016,8,2017,5
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,94417,Married,Star,3873.65,Standard,2016,12,2016,7
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,139928,Married,Star,3878.77,Standard,2013,10,2019,7
172755,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,90263,Single,Aurora,5303.76,2018 Promotion,2018,3,2019,10
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,61285,Married,Star,3885.46,Standard,2014,10,2017,5
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,153615,Married,Star,3885.46,Standard,2015,7,2016,4
552965,Canada,Quebec,Montreal,H4G 3T4,Male,College,142721,Married,Star,3885.46,Standard,2018,11,2016,5
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,115385,Married,Star,3885.46,Standard,2016,3,2018,5
